step,reliability,smoothed_reliability,latency,smoothed_latency,active_model,controller_state,deriv,rolling_vol,mean_deriv,predicted_degradation_step,actual_degradation_step,lead_time,fast_J,robust_J,timestamp
17,0.9996781945228577,0.9996642222262397,5.95839999999459e-05,6.217260384573863e-05,fast,STABLE,3.493074154592435e-06,2.410953117309542e-05,-2.0292527410870066e-06,,,,0.0003813894771422799,0.0001046151313781607,1770134193.238941
18,0.9996957778930664,0.9996705333596051,2.595800000015913e-05,5.492968307662273e-05,fast,STABLE,6.311133365355381e-06,2.2380744241634513e-05,-2.1558549834210792e-09,,,,0.0003301801069337529,0.00020363705044568192,1770134193.240182
19,0.9996610879898071,0.9996686442856455,2.4165999999992138e-05,4.877694646129662e-05,fast,STABLE,-1.889073959593368e-06,2.2497733023072466e-05,-6.889637434248641e-06,,,,0.00036307801019286323,0.0003683263815001947,1770134193.241305
20,0.9998172521591187,0.9996983658603402,2.366599999992225e-05,4.375475716902175e-05,fast,STABLE,2.972157469471881e-05,2.3179507679339715e-05,-4.476973314071486e-06,,,,0.0002064138408812699,0.0002388650930482683,1770134193.242442
21,0.9997662305831909,0.9997119388049105,2.3832999999973126e-05,3.977040573521202e-05,fast,STABLE,1.3572944570272583e-05,2.079601682200682e-05,1.0241930565069169e-05,,,,0.00025760241680905516,5.84780426027276e-05,1770134193.243562
22,0.9998020529747009,0.9997299616388686,2.3207999999996787e-05,3.645792458816897e-05,fast,STABLE,1.80228339581312e-05,2.4494747466584297e-05,1.3147882525776922e-05,,,,0.00022115502529906905,0.0002561272771910428,1770134193.245065
23,0.9998540878295898,0.9997547868770129,2.300000000010627e-05,3.3766339670556434e-05,fast,STABLE,2.4825238144288164e-05,3.0215164814470368e-05,1.6850703481563478e-05,,,,0.00016891217041026252,0.00027838320504747216,1770134193.2465558
24,0.9998517036437988,0.9997741702303701,2.2959000000044583e-05,3.1604871736454063e-05,fast,STABLE,1.9383353357160793e-05,3.789105436435981e-05,2.110518894491431e-05,,,,0.00017125535620121646,0.00016308442669665801,1770134193.247647
25,0.9997038245201111,0.9997601010883184,2.31669999999351e-05,2.991729738915027e-05,fast,STABLE,-1.4069142051709171e-05,4.11803682212306e-05,1.2347045595628714e-05,,,,0.0003193424798888511,0.00017643586712656756,1770134193.2487712
26,0.99989253282547,0.9997865874357487,2.2709000000009638e-05,2.847563791132215e-05,fast,STABLE,2.6486347430298984e-05,4.356259982355975e-05,1.4929726167633995e-05,,,,0.00013017617453003894,0.0003076317135008999,1770134193.249887
27,0.9997392296791077,0.9997771158844204,2.254199999995876e-05,2.7288910329049474e-05,fast,STABLE,-9.471551328243955e-06,4.173431600805367e-05,9.430849110358962e-06,,,,0.00028331232089229275,0.00013525029009997525,1770134193.250974
28,0.9993875622749329,0.9996992051625229,2.2707999999926898e-05,2.637272826322496e-05,fast,STABLE,-7.79107218975561e-05,3.816108887765429e-05,-1.111634289800989e-05,,,,0.0006351457250670656,0.00022281430398551905,1770134193.252059
29,0.9997491836547852,0.9997092008609754,2.2791999999993706e-05,2.565658261057871e-05,fast,STABLE,9.995698452502921e-06,3.251536446183946e-05,-1.2993873878941465e-05,,,,0.00027360834521483746,0.00013849812698363273,1770134193.253147
30,0.9995825886726379,0.9996838784233079,2.2666000000004516e-05,2.5058466088463875e-05,fast,STABLE,-2.5322437667507636e-05,3.460041185641741e-05,-1.5244533002101156e-05,,,,0.00044007732736206506,9.042759722910354e-05,1770134193.254237
31,0.99985671043396,0.9997184448254384,2.3624999999860563e-05,2.4771772870743214e-05,fast,STABLE,3.456640213050921e-05,3.414942524563145e-05,-1.3628522062059113e-05,,,,0.00016691456603989963,0.00014820766085810178,1770134193.255393
32,0.9996436834335327,0.9997034925470573,2.3832999999973126e-05,2.45840182965892e-05,fast,STABLE,-1.4952278381108464e-05,3.576190001641045e-05,-1.4724667472632014e-05,,,,0.0003801495664672583,0.0001625303802488265,1770134193.256511
33,0.9997234344482422,0.9997074809272943,2.2833000000055392e-05,2.423381463728244e-05,fast,STABLE,3.988380237074374e-06,3.618260778406776e-05,1.6551529542940812e-06,,,,0.0002993985517578679,0.00029385099411016746,1770134193.2576451
34,0.9998241662979126,0.9997308180014179,2.3207999999996787e-05,2.4028651709825307e-05,fast,STABLE,2.3337074123608303e-05,3.335287253639765e-05,4.323428088515158e-06,,,,0.00019904170208739913,0.00030849636459340246,1770134193.258752
