reliability,smoothed_reliability,latency,smoothed_latency
0.9997433423995972,0.9997433423995972,0.0015417920000000418,0.0015417920000000418
0.9994757175445557,0.9996898174285889,2.75839999999139e-05,0.0012389504000000163
0.9995890259742737,0.9996696591377259,2.641699999994529e-05,0.0009964437200000022
0.9998903274536133,0.9997137928009034,2.566599999997976e-05,0.0008022881759999977
0.9998300075531006,0.999737035751343,2.5082999999925804e-05,0.0006468471407999834
0.9999240636825562,0.9997744413375856,2.4792000000051218e-05,0.000522436112639997
0.9998698234558105,0.9997935177612307,3.258300000008596e-05,0.0004244654901120148
0.9997502565383911,0.9997848655166628,5.016699999993435e-05,0.00034960579208959873
0.9998623132705688,0.9998003550674441,3.274999999991479e-05,0.0002862346336716619
0.9995489120483398,0.9997500664636233,2.6583999999996166e-05,0.0002343045069373288
0.9996131062507629,0.9997226744210512,2.5917000000097445e-05,0.00019262700554988253
0.999572217464447,0.9996925830297305,2.512500000007023e-05,0.00015912660443992007
0.9994595050811768,0.9996459674400198,2.5166000000131916e-05,0.00013233448355196243
0.999828577041626,0.9996824893603411,2.4666999999922723e-05,0.00011080098684155449
0.9999148845672607,0.9997289684017251,2.4540999999933533e-05,9.35489894732303e-05
0.9996093511581421,0.9997050449530086,2.579199999996895e-05,7.999759157857803e-05
0.9998490810394287,0.9997338521702928,2.5541999999934006e-05,6.910647326284924e-05
0.9993968605995178,0.9996664538561378,2.4374999999965397e-05,6.016017861027247e-05
0.9993060827255249,0.9995943796300153,2.587499999995302e-05,5.3303142888208584e-05
0.9995279908180237,0.9995811018676171,2.441699999988778e-05,4.752591431054443e-05
0.9996784925460815,0.99960058000331,2.462500000000034e-05,4.294573144843561e-05
0.9997268319129944,0.9996258303852469,2.408400000009081e-05,3.9173385158766655e-05
0.9998242259025574,0.999665509488709,2.441699999988778e-05,3.622210812699088e-05
0.9998160004615784,0.999695607683283,2.4583999999938655e-05,3.389448650158043e-05
0.9995571970939636,0.9996679255654192,2.408300000000807e-05,3.193218920126596e-05
0.9993714094161987,0.9996086223355751,2.420799999991452e-05,3.0387351360995673e-05
0.9992815256118774,0.9995432029908357,2.5875000000175064e-05,2.9484881088831555e-05
0.999605119228363,0.9995555862383412,2.966699999995548e-05,2.9521304871056342e-05
0.9996331930160522,0.9995711075938835,2.395800000010162e-05,2.8408643896865402e-05
0.9998816251754761,0.999633211110202,2.4124999999930452e-05,2.7551915117478412e-05
0.9998766779899597,0.9996819044861536,2.3708000000066676e-05,2.6783132093996065e-05
0.9997565746307373,0.9996968385150704,2.379199999991144e-05,2.6184905675179142e-05
0.999822735786438,0.999722017969344,2.3874999999895508e-05,2.5722924540122417e-05
0.9998409748077393,0.9997458093370231,2.4208000000136565e-05,2.541993963212525e-05
0.9996554851531982,0.9997277445002581,2.383300000019517e-05,2.5102551705739234e-05
0.9997824430465698,0.9997386842095206,2.345800000003173e-05,2.4773641364597734e-05
0.9995671510696411,0.9997043775815448,2.345800000003173e-05,2.4510513091684534e-05
0.9997591376304626,0.9997153295913285,2.3583000000160226e-05,2.4325010473379676e-05
0.9990355372428894,0.9995793711216407,3.1375000000055664e-05,2.5735008378714877e-05
0.9997698068618774,0.9996174582696882,2.379199999991144e-05,2.5346406702954193e-05
0.9998696446418762,0.9996678955441258,2.3874999999895508e-05,2.505212536234246e-05
0.9997203350067139,0.9996783834366435,2.3874999999895508e-05,2.481670028985307e-05
0.9997761845588684,0.9996979436610884,2.4041999999946384e-05,2.4661760231871734e-05
0.999590277671814,0.9996764104632336,2.4165999999992138e-05,2.4562608185495817e-05
0.9996938109397888,0.9996798905585448,2.3792000000133484e-05,2.440848654842335e-05
0.9998471736907959,0.999713347184995,2.35410000000158e-05,2.4234989238741844e-05
0.999839723110199,0.9997386223700359,2.3499999999954113e-05,2.4087991390984302e-05
0.9994604587554932,0.9996829896471274,2.370799999984463e-05,2.401199311275637e-05
0.9998237490653992,0.9997111415307819,2.337499999982562e-05,2.388459449017022e-05
0.999436616897583,0.9996562366041422,2.3624999999860563e-05,2.383267559210829e-05
0.9996899962425232,0.9996629885318185,2.3332999999903237e-05,2.3732740473667282e-05
0.9996922612190247,0.9996688430692597,2.5541999999934006e-05,2.4094592378920625e-05
0.9994561672210693,0.9996263078996217,2.450000000009389e-05,2.417567390315528e-05
0.9998657703399658,0.9996742003876906,2.408300000000807e-05,2.415713912252584e-05
0.9995958805084229,0.9996585364118371,2.416700000007488e-05,2.4159111298035648e-05
0.9997686147689819,0.9996805520832661,2.4416000000027083e-05,2.4210489038433935e-05
0.999768078327179,0.9996980573320488,2.3875000000117552e-05,2.414339123077066e-05
0.9998337626457214,0.9997251983947834,2.437500000018744e-05,2.4189712984654018e-05
0.9995825886726379,0.9996966764503543,2.358299999993818e-05,2.4068370387710852e-05
0.999488353729248,0.9996550119061332,2.3792000000133484e-05,2.401309631019538e-05
0.9997708201408386,0.9996781735530742,2.3791000000050744e-05,2.3968677048166454e-05
0.9996976256370544,0.9996820639698702,2.3915999999957194e-05,2.3958141638524605e-05
0.9998092651367188,0.99970750420324,2.4000000000024002e-05,2.3966513310824483e-05
0.999900758266449,0.9997461550158817,2.3292000000063595e-05,2.3831610648672306e-05
0.9997129440307617,0.9997395128188578,2.370899999992737e-05,2.3807088518923322e-05
0.9999521970748901,0.9997820496700643,2.3416999999970045e-05,2.3729070815132667e-05
0.9996678233146667,0.9997592043989848,2.3958999999962316e-05,2.3775056652098596e-05
0.9998984336853027,0.9997870502562485,2.4166999999852834e-05,2.3853445321649446e-05
0.9998341798782349,0.9997964761806458,2.3541999999876495e-05,2.379115625729486e-05
0.9998677372932434,0.9998107284031654,2.366700000000499e-05,2.3766325005836885e-05
0.9999428391456604,0.9998371505516644,2.3749999999989058e-05,2.376306000466732e-05
0.9998190999031067,0.9998335404219529,2.345800000003173e-05,2.3702048003740205e-05
0.999498724937439,0.9997665773250501,2.3499999999954113e-05,2.366163840298299e-05
0.9998364448547363,0.9997805508309875,2.3625000000082608e-05,2.3654310722402914e-05
0.9997707605361938,0.9997785927720289,2.35410000000158e-05,2.3631648577925495e-05
0.9994667768478394,0.999716229587191,2.35410000000158e-05,2.361351886234356e-05
0.9997272491455078,0.9997184334988544,2.450000000009389e-05,2.3790815089893625e-05
0.9998699426651001,0.9997487353321036,2.3875000000117552e-05,2.380765207193841e-05
0.9995390772819519,0.9997068037220733,2.3625000000082608e-05,2.3771121657567253e-05
0.9998003244400024,0.9997255078656593,2.3957999999879576e-05,2.3808497326029716e-05
0.9997614026069641,0.9997326868139202,2.370799999984463e-05,2.3788397860792702e-05
0.9997864365577698,0.9997434367626902,2.3749999999989058e-05,2.3780718288631976e-05
0.9999334812164307,0.9997814456534383,2.4000000000024002e-05,2.382457463091038e-05
0.9996461868286133,0.9997543938884733,2.3749999999989058e-05,2.3809659704726118e-05
0.9996290802955627,0.9997293311698913,2.3874999999895508e-05,2.382272776376e-05
0.999426007270813,0.9996686663900756,2.3832999999973126e-05,2.3824782211002626e-05
0.9995092749595642,0.9996367881039733,2.3415999999887305e-05,2.3743025768779562e-05
0.9993382096290588,0.9995770724089904,2.3625000000082608e-05,2.3719420615040174e-05
0.9998368620872498,0.9996290303446423,2.358299999993818e-05,2.3692136492019777e-05
0.9999067187309265,0.9996845680218993,2.354200000009854e-05,2.3662109193635533e-05
0.9996949434280396,0.9996866431031274,2.370799999984463e-05,2.3671287354877355e-05
0.9997789263725281,0.9997050997570076,2.3583999999798877e-05,2.365382988386166e-05
0.9996153712272644,0.999687154051059,2.379199999991144e-05,2.3681463907071617e-05
0.9998141527175903,0.9997125537843653,2.3791000000050744e-05,2.3703371125667443e-05
0.999733030796051,0.9997166491867026,2.358299999993818e-05,2.367929690052159e-05
0.9996299743652344,0.999699314222409,2.3708000000066676e-05,2.3685037520430608e-05
0.9995137453079224,0.9996622004395117,2.3499999999954113e-05,2.364803001633531e-05
0.9996703267097473,0.9996638256935588,2.3583000000160226e-05,2.36350240131003e-05
0.9998030662536621,0.9996916738055796,2.366599999992225e-05,2.364121921046469e-05
0.9995890855789185,0.9996711561602474,2.3540999999793755e-05,2.3621175368330503e-05
0.9998521208763123,0.9997073491034604,2.3415999999887305e-05,2.3580140294641865e-05
0.9998792409896851,0.9997417274807053,2.3832999999973126e-05,2.363071223570812e-05
0.9997446537017822,0.9997423127249208,4.374999999989804e-05,2.7654569788546108e-05
0.999650239944458,0.9997238981688282,2.6542000000073784e-05,2.7432055830851645e-05
0.9997386336326599,0.9997268452615946,2.5708000000124187e-05,2.7087244664706155e-05
0.9998049736022949,0.9997424709297348,2.5082999999925804e-05,2.6686395731750088e-05
0.9999363422393799,0.9997812451916638,2.5042000000086162e-05,2.6357516585417304e-05
0.9995600581169128,0.9997370077767136,2.5707999999902142e-05,2.6227613268314273e-05
0.9999034404754639,0.9997702943164637,2.4417000000109823e-05,2.5865490614673383e-05
0.9996954202651978,0.9997553195062105,2.4041000000085688e-05,2.5500592491755842e-05
0.999912679195404,0.9997867914440492,2.395800000010162e-05,2.5192073993425e-05
0.9996825456619263,0.9997659422876247,2.462500000000034e-05,2.507865919474007e-05
0.9994829893112183,0.9997093516923435,2.3832999999973126e-05,2.4829527355786683e-05
0.999730110168457,0.9997135033875663,2.420799999991452e-05,2.470522188461225e-05
0.9997829794883728,0.9997273986077276,2.4249999999836902e-05,2.4614177507657185e-05
0.9997718930244446,0.9997362974910711,2.4250000000058947e-05,2.454134200613754e-05
0.9997259974479675,0.9997342374824505,2.395800000010162e-05,2.4424673604930358e-05
0.9997524619102478,0.99973788236801,2.3917000000039934e-05,2.4323138883952276e-05
0.9998698830604553,0.9997642825064991,2.3791000000050744e-05,2.421671110717197e-05
0.9998409748077393,0.9997796209667471,2.4124999999930452e-05,2.419836888572367e-05
0.9998185038566589,0.9997873975447296,2.379199999991144e-05,2.4117095108561224e-05
0.9997509717941284,0.9997801123946094,2.370899999992737e-05,2.4035476086834455e-05
0.9996160864830017,0.9997473072122879,2.3832999999973126e-05,2.3994980869462192e-05
0.9996915459632874,0.9997361549624879,2.3874999999895508e-05,2.3970984695548858e-05
0.9999077916145325,0.9997704822928969,2.4249999999836902e-05,2.402678775640647e-05
0.999366283416748,0.9996896425176672,2.379199999991144e-05,2.3979830205107465e-05
0.9997228384017944,0.9996962816944928,2.366700000000499e-05,2.3917264164086972e-05
0.9998397827148438,0.999724981898563,2.462500000000034e-05,2.4058811331269647e-05
0.999626636505127,0.9997053128198758,2.358400000002092e-05,2.3963849065019906e-05
0.9997579455375671,0.9997158393634141,2.4040999999863644e-05,2.3979279251988655e-05
0.9999276399612427,0.99975819948298,2.3625000000082608e-05,2.3908423401607444e-05
0.9996322393417358,0.9997330074547313,2.4124999999930452e-05,2.3951738721272048e-05
0.9996123909950256,0.9997088841627901,2.379199999991144e-05,2.3919790976999928e-05
0.9996151328086853,0.9996901338919693,2.3874999999895508e-05,2.3910832781579048e-05
0.9997654557228088,0.9997051982581373,2.4166999999852834e-05,2.396206622523381e-05
0.9997233152389526,0.9997088216543004,2.3874999999895508e-05,2.394465298016615e-05
0.9999328255653381,0.999753622436508,2.3708000000066676e-05,2.3897322384146256e-05
0.999680757522583,0.999739049453723,2.3625000000082608e-05,2.3842857907333525e-05
0.9995253682136536,0.9996963132057092,2.3499999999954113e-05,2.3774286325857646e-05
0.9999234080314636,0.9997417321708602,2.3666000000144294e-05,2.3752629060714976e-05
0.9996943473815918,0.9997322552130065,2.404200000016843e-05,2.3810503248605668e-05
0.9994770288467407,0.9996812099397534,2.370799999984463e-05,2.3790002598853462e-05
0.9997556805610657,0.9996961040640159,2.3915999999957194e-05,2.3815202079074213e-05
0.9997279047966003,0.9997024642105328,2.4250000000058947e-05,2.390216166327116e-05
0.9998377561569214,0.9997295225998106,2.370899999992737e-05,2.3863529330602406e-05
0.9997612237930298,0.9997358628384545,2.383399999983382e-05,2.3857623464448693e-05
0.9998076558113098,0.9997502214330256,2.408300000000807e-05,2.390269877156057e-05
0.9997407793998718,0.9997483330263949,2.379199999991144e-05,2.3880559017230745e-05
0.9990542531013489,0.9996095170413858,2.404200000016843e-05,2.3912847213818283e-05
0.9996061325073242,0.9996088401345735,2.366700000000499e-05,2.3863677771055624e-05
0.9627010822296143,0.9922272885535818,2.3709000000149416e-05,2.383274221687438e-05
0.9814925789833069,0.9900803466395268,2.345800000003173e-05,2.3757793773505855e-05
0.9098963141441345,0.9740435401404485,2.3957999999879576e-05,2.3797835018780598e-05
0.9633806943893433,0.9719109709902274,2.4124999999930452e-05,2.386326801501057e-05
0.9767857789993286,0.9728859325920476,2.3749999999989058e-05,2.384061441200627e-05
0.9607937932014465,0.9704675047139274,2.4249999999836902e-05,2.39224915295724e-05
0.9155539870262146,0.9594848011763849,2.4041999999946384e-05,2.3946393223647197e-05
0.9329080581665039,0.9541694525744088,2.3625000000082608e-05,2.3882114578934278e-05
0.968674898147583,0.9570705416890436,2.408300000000807e-05,2.392229166314904e-05
0.9792416095733643,0.9615047552659077,2.3875000000117552e-05,2.3912833330542742e-05
0.9349299073219299,0.9561897856771122,2.3874999999895508e-05,2.3905266664413298e-05
0.9583377838134766,0.9566193853043852,2.3791000000050744e-05,2.3882413331540787e-05
0.9417343735694885,0.9536423829574059,2.3624999999860563e-05,2.3830930665204743e-05
0.9553938508033752,0.9539926765265998,2.35410000000158e-05,2.3772944532166956e-05
0.9589769244194031,0.9549895261051605,2.3415999999887305e-05,2.3701555625711028e-05
0.9078907370567322,0.9455697682954749,2.366700000000499e-05,2.369464450056982e-05
0.926021158695221,0.9416600463754242,2.358299999993818e-05,2.367231560044349e-05
0.9215231537818909,0.9376326678567176,2.395800000010162e-05,2.3729452480375118e-05
0.9061805009841919,0.9313422344822124,2.3749999999989058e-05,2.373356198429791e-05
0.8988022804260254,0.9248342436709751,2.32910000002029e-05,2.3645049587478907e-05
0.9119240045547485,0.9222521958477299,2.3499999999954113e-05,2.361603966997395e-05
0.8460267782211304,0.90700711232241,2.391699999981789e-05,2.367623173594274e-05
0.9302471280097961,0.9116551154598873,2.3917000000039934e-05,2.372438538876218e-05
0.9542717337608337,0.9201784391200766,2.408300000000807e-05,2.379610831101136e-05
0.9755603075027466,0.9312548127966107,2.3499999999954113e-05,2.3736886648799914e-05
0.9156652688980103,0.9281369040168908,2.3832999999973126e-05,2.375610931903456e-05
0.9543212652206421,0.9333737762576411,2.3917000000039934e-05,2.3788287455235637e-05
0.908781886100769,0.9284553982262667,2.370799999984463e-05,2.3772229964157436e-05
0.9361439347267151,0.9299931055263564,2.3499999999954113e-05,2.3717783971316776e-05
0.9792316555976868,0.9398408155406226,2.3499999999954113e-05,2.3674227177044247e-05
0.8536046147346497,0.9225935753794281,2.3874999999895508e-05,2.3714381741614502e-05
0.9602174758911133,0.9301183554817651,2.3749999999989058e-05,2.3721505393289415e-05
0.9638477563858032,0.9368642356625728,2.9000000000056758e-05,2.4777204314642885e-05
0.9174025654792786,0.9329719016259139,2.4125000000152497e-05,2.4646763451744807e-05
0.9241842031478882,0.9312143619303088,2.4000000000024002e-05,2.4517410761400645e-05
0.9167668223381042,0.9283248540118679,2.408300000000807e-05,2.443052860912213e-05
0.9488826394081116,0.9324364110911167,2.379199999991144e-05,2.4302822887279993e-05
0.9664698243141174,0.9392430937357169,2.4125000000152497e-05,2.4267258309854494e-05
0.8950095772743225,0.9303963904434381,2.4000000000024002e-05,2.4213806647888398e-05
0.9581742286682129,0.935951958088393,2.3708000000066676e-05,2.4112645318324055e-05
0.9653031229972839,0.9418221910701713,2.370799999984463e-05,2.4031716254628173e-05
0.910521388053894,0.9355620304669159,2.3917000000039934e-05,2.400877300371053e-05
0.8814038038253784,0.9247303851386085,2.4791999999829173e-05,2.4165418402934257e-05
0.9579966068267822,0.9313836294762432,2.3791000000050744e-05,2.4090534722357557e-05
0.934546947479248,0.9320162930768443,2.3915999999957194e-05,2.4055627777877485e-05
0.9226056337356567,0.9301341612086069,2.3832999999973126e-05,2.4011102222296614e-05
0.9839200377464294,0.9408913365161715,2.3708000000066676e-05,2.395048177785063e-05
0.9210591912269592,0.9369249074583291,2.379199999991144e-05,2.391878542226279e-05
0.9462491869926453,0.9387897633651924,2.3832999999973126e-05,2.390162833780486e-05
0.9058141112327576,0.9321946329387055,2.3708000000066676e-05,2.3862902670257222e-05
0.9298789501190186,0.9317314963747682,2.3832999999973126e-05,2.3856922136200406e-05
0.9078904986381531,0.9269632968274452,2.433399999990371e-05,2.395233770894107e-05
0.8485952019691467,0.9112896778557855,2.3875000000117552e-05,2.3936870167176368e-05
0.9296227693557739,0.9149562961557832,2.4040999999863644e-05,2.3957696133713822e-05
0.8680847883224487,0.9055819945891164,2.366599999992225e-05,2.3899356906955507e-05
0.9191595315933228,0.9082975019899576,2.3874999999895508e-05,2.389448552554351e-05
0.9243350625038147,0.9115050140927291,2.3832999999973126e-05,2.3882188420429435e-05
0.9364145398139954,0.9164869192369824,2.4041000000085688e-05,2.3913950736360685e-05
0.9209596514701843,0.9173814656836229,2.370799999984463e-05,2.3872760589057476e-05
0.9421036839485168,0.9223259093366017,2.4291000000120633e-05,2.395640847127011e-05
0.9339035153388977,0.9246414305370609,2.3792000000133484e-05,2.3923526777042784e-05
0.9435009956359863,0.928413343556846,2.4083999999868766e-05,2.3955621421607982e-05
0.9350515007972717,0.9297409750049312,4.4457999999858444e-05,2.8056097137258073e-05
0.9600261449813843,0.9357980090002218,2.420799999991452e-05,2.7286477709789365e-05
0.9152472615242004,0.9316878595050175,2.4499999999871847e-05,2.6729182167805862e-05
0.9788470268249512,0.9411196929690043,2.4417000000109823e-05,2.626674573426666e-05
0.9863040447235107,0.9501565633199056,2.445800000017151e-05,2.590499658744763e-05
0.9844898581504822,0.957023222286021,2.3957999999879576e-05,2.551559726993402e-05
0.8251988887786865,0.9306583555845541,2.366700000000499e-05,2.5145877815948213e-05
0.8890061974525452,0.9223279239581524,2.4165999999992138e-05,2.4949902252757e-05
0.8680804967880249,0.911478438524127,2.3625000000082608e-05,2.468492180222212e-05
0.9796238541603088,0.9251075216513633,2.4125000000152497e-05,2.45729374418082e-05
0.9514213800430298,0.9303702933296967,2.3708000000066676e-05,2.4399949953459893e-05
0.9498589038848877,0.9342680154407349,2.3625000000082608e-05,2.4244959962784435e-05
0.9745836853981018,0.9423311494322084,2.3832999999973126e-05,2.4162567970222174e-05
0.966765820980072,0.9472180837417812,2.35410000000158e-05,2.4038254376180902e-05
